algo,k,frac,m,seed,center_idx,longitude,latitude
lightweight,2,0.05,49966.0,3.0,1,-73.9367943208005,40.781596949952686
lightweight,2,0.05,49966.0,4.0,0,-73.93695033829866,40.7799992633118
lightweight,2,0.05,49966.0,4.0,1,-73.98415267684007,40.72630738029312
random,2,0.05,49966.0,0.0,0,-73.98377211791906,40.72631348793096
random,2,0.05,49966.0,0.0,1,-73.9368353143183,40.78117884668176
random,2,0.05,49966.0,1.0,0,-73.98353919565638,40.72583219318871
random,2,0.05,49966.0,1.0,1,-73.93716204054736,40.781983702176234
random,2,0.05,49966.0,2.0,0,-73.98412328199316,40.72624608696729
random,2,0.05,49966.0,2.0,1,-73.93700499008554,40.77955480513556
random,2,0.05,49966.0,3.0,0,-73.98407610323609,40.72633114347802
random,2,0.05,49966.0,3.0,1,-73.93679101213655,40.77937046138672
random,2,0.05,49966.0,4.0,0,-73.98405249055105,40.72611851505204
random,2,0.05,49966.0,4.0,1,-73.93717543992783,40.77907160695826
lightweight,2,0.1,99932.0,0.0,0,-73.98360803758797,40.72602215088218
lightweight,2,0.1,99932.0,0.0,1,-73.93682483760176,40.781000452824564
lightweight,2,0.1,99932.0,1.0,0,-73.98410222358292,40.726006397339326
lightweight,2,0.1,99932.0,1.0,1,-73.93708298603272,40.77958153286219
lightweight,2,0.1,99932.0,2.0,0,-73.98367117948108,40.726312857480174
lightweight,2,0.1,99932.0,2.0,1,-73.9367996300648,40.781496140368326
lightweight,2,0.1,99932.0,3.0,0,-73.98376752105426,40.725813892368954
lightweight,2,0.1,99932.0,3.0,1,-73.93684769000849,40.781359842609525
lightweight,2,0.1,99932.0,4.0,0,-73.98387858190706,40.726171442988694
lightweight,2,0.1,99932.0,4.0,1,-73.93695207471708,40.781295828403366
random,2,0.1,99932.0,0.0,0,-73.98362495782831,40.72613116028886
random,2,0.1,99932.0,0.0,1,-73.93701854330202,40.78133220631807
random,2,0.1,99932.0,1.0,0,-73.93707276234912,40.78150013046868
random,2,0.1,99932.0,1.0,1,-73.9837707994234,40.72612293785427
random,2,0.1,99932.0,2.0,0,-73.98415405217196,40.726258915296526
random,2,0.1,99932.0,2.0,1,-73.93679751723606,40.77933074582224
random,2,0.1,99932.0,3.0,0,-73.98404061490136,40.72617033146868
random,2,0.1,99932.0,3.0,1,-73.93678603060195,40.779447669410395
random,2,0.1,99932.0,4.0,0,-73.9370770380839,40.779255738220705
random,2,0.1,99932.0,4.0,1,-73.98400966481866,40.726003504629475
lightweight,2,0.25,249829.0,0.0,0,-73.93688453545894,40.781192990060845
lightweight,2,0.25,249829.0,0.0,1,-73.98357842604457,40.7260296547649
lightweight,2,0.25,249829.0,1.0,0,-73.93697916007876,40.77962129630501
lightweight,2,0.25,249829.0,1.0,1,-73.98412356487778,40.72607402566542
lightweight,2,0.25,249829.0,2.0,0,-73.93678988899316,40.78117318143636
lightweight,2,0.25,249829.0,2.0,1,-73.98375877813005,40.72621841017587
lightweight,2,0.25,249829.0,3.0,0,-73.93694725034423,40.781375585858775
lightweight,2,0.25,249829.0,3.0,1,-73.9836939290879,40.725957490036556
lightweight,2,0.25,249829.0,4.0,0,-73.98378042236337,40.72611527214222
