algo,k,frac,m,seed,center_idx,R,G,B
lightweight,2,0.0025,2621.0,4.0,1,166.72472018080833,165.96583337589553,159.29467055620026
random,2,0.0025,2621.0,0.0,0,66.7067448680352,75.11143695014661,51.67800586510264
random,2,0.0025,2621.0,0.0,1,166.5840611353712,163.99126637554582,157.34279475982532
random,2,0.0025,2621.0,1.0,0,166.72736625514403,166.21502057613168,159.4320987654321
random,2,0.0025,2621.0,1.0,1,67.35415403274712,75.94299575500303,51.64887810794421
random,2,0.0025,2621.0,2.0,0,64.67399049881234,73.07600950118766,49.89251781472684
random,2,0.0025,2621.0,2.0,1,167.16115261472783,165.31590181430096,159.1931696905016
random,2,0.0025,2621.0,3.0,0,65.98824911868391,74.23325499412458,50.82021151586368
random,2,0.0025,2621.0,3.0,1,167.7138193688792,167.19912948857453,162.14145810663763
random,2,0.0025,2621.0,4.0,0,65.88809096349493,73.63076002393777,50.163973668462
random,2,0.0025,2621.0,4.0,1,165.85684210526315,164.1536842105263,156.3357894736842
lightweight,2,0.005,5243.0,0.0,0,165.14641049648256,163.50953413277534,155.72434010319253
lightweight,2,0.005,5243.0,0.0,1,66.58044906293642,74.27203609537872,50.96892810405902
lightweight,2,0.005,5243.0,1.0,0,164.18009132366166,162.9027864254309,155.4424291020179
lightweight,2,0.005,5243.0,1.0,1,65.63459428671361,73.42531258850673,50.21738021872174
lightweight,2,0.005,5243.0,2.0,0,65.3963445264246,74.33837875390198,50.72095673426266
lightweight,2,0.005,5243.0,2.0,1,164.90131200162236,162.86185209905767,155.14179635209945
lightweight,2,0.005,5243.0,3.0,0,65.04441358027667,73.36085731633241,50.57541276100692
lightweight,2,0.005,5243.0,3.0,1,165.1623779095319,162.9540314508251,154.79935998381097
lightweight,2,0.005,5243.0,4.0,0,66.75430003045562,74.44392036898215,50.772323955254684
lightweight,2,0.005,5243.0,4.0,1,167.42985205259066,166.32039420480447,159.65534571460358
random,2,0.005,5243.0,0.0,0,164.67929562433298,162.56189967982922,154.31430096051224
random,2,0.005,5243.0,0.0,1,65.0068269516177,73.27574948055803,49.93974473137432
random,2,0.005,5243.0,1.0,0,66.67909334923948,75.0882791529973,50.88219504920961
random,2,0.005,5243.0,1.0,1,166.98306878306877,166.2301587301587,159.18730158730162
random,2,0.005,5243.0,2.0,0,64.85616844602609,73.3561684460261,49.96530249110319
random,2,0.005,5243.0,2.0,1,166.64243719935865,164.63121325494387,157.44628540887226
random,2,0.005,5243.0,3.0,0,65.67832789801363,74.00296471983395,50.62525941298541
random,2,0.005,5243.0,3.0,1,166.52245989304814,165.59037433155083,159.33743315508028
random,2,0.005,5243.0,4.0,0,65.1557894736842,73.77774436090223,49.92421052631576
random,2,0.005,5243.0,4.0,1,165.52294056308656,163.0276329509906,154.81438998957248
