algo,k,frac,m,seed,r1,r2,r3
random,8,0.1,100000,3,0.9992917340476465,0.996490268460952,1.000444566663939
random,8,0.1,100000,4,1.0037015907060172,1.0021440259172691,1.0003244792070347
lightweight,8,0.25,250000,0,0.9979949190792792,0.9974934967046157,0.9999011262698942
lightweight,8,0.25,250000,1,0.9999338830597186,0.9966357735901442,1.000543245258374
lightweight,8,0.25,250000,2,0.9995779161249203,0.9984319090021616,1.0000536801390012
lightweight,8,0.25,250000,3,0.9990720308275076,0.998735880572341,0.9999233368031369
lightweight,8,0.25,250000,4,1.00039411329157,0.9989695118267357,1.0001310582770102
random,8,0.25,250000,0,1.0003457449903421,0.9986101595694373,1.0002699612104233
random,8,0.25,250000,1,1.0004526367399846,0.998710466705929,1.0002060319768062
random,8,0.25,250000,2,0.9989774709338483,0.9987951607495723,1.000103163696147
random,8,0.25,250000,3,0.9993844621752844,0.999263724348816,1.000073892795472
random,8,0.25,250000,4,1.0013371987030604,0.9987591216390376,1.000788418126077
lightweight,8,0.5,500000,0,0.9998854233174271,0.9993293416178601,1.0002394989627528
lightweight,8,0.5,500000,1,1.0002890559261095,0.9985976513387457,1.0002615459530695
lightweight,8,0.5,500000,2,0.9989280783443769,0.9981330187182534,1.0002181397927787
lightweight,8,0.5,500000,3,0.9982028491886202,0.9977716410802945,1.0001489249956776
lightweight,8,0.5,500000,4,0.9988216886096987,0.9982461753851775,0.999963169038416
random,8,0.5,500000,0,1.000166500091478,0.9996539050083366,1.0000302399097059
random,8,0.5,500000,1,0.9996956996166639,0.999136489517996,1.0003463781671118
random,8,0.5,500000,2,0.9996285598373794,0.9992692876692911,1.0000887236747242
random,8,0.5,500000,3,0.9987619947378108,0.9987823902105372,0.9999676565128297
random,8,0.5,500000,4,1.0001200594100697,0.9993847198069196,0.9999161383949239
lightweight,16,0.0025,2500,0,0.999691319029074,0.9645047721763715,1.0199974210363205
lightweight,16,0.0025,2500,1,0.9612958616399748,0.9272936550031392,1.0150135817517978
lightweight,16,0.0025,2500,2,1.0156896447888317,0.9713435485223926,1.0142830092310458
lightweight,16,0.0025,2500,3,0.9871924796422856,0.9569322776338272,1.0121231991324804
lightweight,16,0.0025,2500,4,0.9663796837755563,0.938009891870144,1.0099520040888013
