algo,k,frac,m,seed,center_idx,x,y
random,2,0.1,100000.0,0.0,1,12.479533148990267,18.664527318742046
random,2,0.1,100000.0,1.0,0,-0.3748585420859385,-0.4606299022525384
random,2,0.1,100000.0,1.0,1,12.417693879932283,18.66907807332457
random,2,0.1,100000.0,2.0,0,12.48137761892108,18.631914636521373
random,2,0.1,100000.0,2.0,1,-0.39072703815608545,-0.4427955712726668
random,2,0.1,100000.0,3.0,0,-0.3729492669119825,-0.4207073869341844
random,2,0.1,100000.0,3.0,1,12.46565782695902,18.651319132693125
random,2,0.1,100000.0,4.0,0,-0.3630625460962378,-0.4286158714647845
random,2,0.1,100000.0,4.0,1,12.535233294010105,18.683071239843947
lightweight,2,0.25,250000.0,0.0,0,-0.37719029907014345,-0.4424822260545618
lightweight,2,0.25,250000.0,0.0,1,12.467953288102269,18.65331525140462
lightweight,2,0.25,250000.0,1.0,0,12.47953522134279,18.64188171483442
lightweight,2,0.25,250000.0,1.0,1,-0.3675746782254192,-0.4415941223880937
lightweight,2,0.25,250000.0,2.0,0,-0.3723079314529638,-0.42766531813616204
lightweight,2,0.25,250000.0,2.0,1,12.453306533390485,18.655879021420247
lightweight,2,0.25,250000.0,3.0,0,-0.3254801284261273,-0.4063516325223482
lightweight,2,0.25,250000.0,3.0,1,12.440890335860207,18.668737816077
lightweight,2,0.25,250000.0,4.0,0,12.446739598574588,18.668587739712407
lightweight,2,0.25,250000.0,4.0,1,-0.35127364468751043,-0.42349517313116625
random,2,0.25,250000.0,0.0,0,12.459613721416437,18.583817487623215
random,2,0.25,250000.0,0.0,1,-0.38555655212739204,-0.4443813047489975
random,2,0.25,250000.0,1.0,0,12.438222366608382,18.629141099116033
random,2,0.25,250000.0,1.0,1,-0.39051427977344666,-0.4504978520587821
random,2,0.25,250000.0,2.0,0,-0.38784759914362343,-0.4569253734773522
random,2,0.25,250000.0,2.0,1,12.471381029092893,18.58110934466081
random,2,0.25,250000.0,3.0,0,12.447329822423224,18.648600634154104
random,2,0.25,250000.0,3.0,1,-0.37669654820487164,-0.44969310206626023
random,2,0.25,250000.0,4.0,0,-0.36332223237253825,-0.4162922629764241
random,2,0.25,250000.0,4.0,1,12.496890875928106,18.667783236542576
lightweight,2,0.5,500000.0,0.0,0,-0.3474531527624132,-0.42624555053271695
lightweight,2,0.5,500000.0,0.0,1,12.505772354587801,18.678714571158714
lightweight,2,0.5,500000.0,1.0,0,-0.3376089580739281,-0.4225631581563727
lightweight,2,0.5,500000.0,1.0,1,12.501743906563757,18.674903703828832
lightweight,2,0.5,500000.0,2.0,0,-0.36169871761152184,-0.4371962600993333
lightweight,2,0.5,500000.0,2.0,1,12.458332978262744,18.671912902085992
lightweight,2,0.5,500000.0,3.0,0,-0.4013094252266871,-0.5086309302903445
lightweight,2,0.5,500000.0,3.0,1,12.400769328185415,18.542257503070772
lightweight,2,0.5,500000.0,4.0,0,-0.38512849664007653,-0.4534552411199657
lightweight,2,0.5,500000.0,4.0,1,12.442443974582172,18.606591921777195
random,2,0.5,500000.0,0.0,0,12.428815197104974,18.566603801289986
random,2,0.5,500000.0,0.0,1,-0.3916776819416272,-0.44889013157023605
random,2,0.5,500000.0,1.0,0,12.45172611000759,18.613947087340787
random,2,0.5,500000.0,1.0,1,-0.38745213072212614,-0.4509138010624971
random,2,0.5,500000.0,2.0,0,-0.3701870760821482,-0.4223050299738622
random,2,0.5,500000.0,2.0,1,12.492728952183814,18.660110937035164
random,2,0.5,500000.0,3.0,0,-0.4008981569193182,-0.47537143776717183
random,2,0.5,500000.0,3.0,1,12.438847971852262,18.582975842192784
random,2,0.5,500000.0,4.0,0,-0.3618090941713765,-0.42022078664863205
random,2,0.5,500000.0,4.0,1,12.495477496833665,18.66990013957841
