algo,k,frac,m,seed,r1,r2,r3
lightweight,4,0.25,152950,0,0.99706316749302,0.9969714889455904,1.0000288213437478
lightweight,4,0.25,152950,1,0.9958949204015718,0.995817228650233,1.0000137769629347
lightweight,4,0.25,152950,2,1.0018617786855215,1.0017589323675165,1.0000244503286628
lightweight,4,0.25,152950,3,0.9944716612151859,0.9943532101050628,1.0000971174393578
lightweight,4,0.25,152950,4,0.9990427331041069,0.9989428528620052,0.9999942134310632
random,4,0.25,152950,0,1.0057114180589606,1.0055700167834847,1.0000802686699455
random,4,0.25,152950,1,1.0062137024415592,1.0060319901913781,1.000151367618582
random,4,0.25,152950,2,1.0048658361407872,1.0048170170994926,1.0000146372915213
random,4,0.25,152950,3,1.000470432417455,1.0004230649255499,1.00001616197234
random,4,0.25,152950,4,0.9995317641093898,0.9992781915329194,1.0000440098940793
lightweight,4,0.5,305900,0,0.9976937184311289,0.9975882502715143,1.00001490564253
lightweight,4,0.5,305900,1,0.9975682220110829,0.9975443703286647,0.9999791970173249
lightweight,4,0.5,305900,2,1.0029600305099522,1.00288650636322,0.9999843284924299
lightweight,4,0.5,305900,3,0.9969233660659658,0.9968091799389764,1.0000598279479944
lightweight,4,0.5,305900,4,0.9986247485446814,0.9985476762716623,1.000028602030314
random,4,0.5,305900,0,1.0037898882789948,1.00377380990587,1.0000107205932192
random,4,0.5,305900,1,1.0021960638056318,1.0022156403967928,0.9999695147571673
random,4,0.5,305900,2,1.000737510785062,1.0007145671106037,1.000018017424402
random,4,0.5,305900,3,0.9995662886274825,0.9995354399137453,1.0000248860605923
random,4,0.5,305900,4,1.000011149087001,0.9999526427078227,0.999994542701366
lightweight,8,0.0025,1530,0,0.9954041246707145,0.9563483636118555,1.0199952792682214
lightweight,8,0.0025,1530,1,1.0479970935276095,0.9900156902289694,1.0286049807326139
lightweight,8,0.0025,1530,2,0.9819026981371708,0.9389017135473433,1.0200257104065225
lightweight,8,0.0025,1530,3,1.078955303702318,0.9852726247533599,1.0351790040959445
lightweight,8,0.0025,1530,4,1.0026923246377701,0.956240951319882,1.0374203340376176
random,8,0.0025,1530,0,0.9916729614287911,0.9599459254788536,1.0143785778578192
random,8,0.0025,1530,1,1.0499730144033832,1.018880458846956,1.012814165094753
random,8,0.0025,1530,2,0.9613946543920303,0.9385379151847845,1.0139076080825387
random,8,0.0025,1530,3,0.9312390067841104,0.9060178139893804,1.0123810321439217
random,8,0.0025,1530,4,0.979780387233355,0.9360930813243802,1.027201855244001
lightweight,8,0.005,3059,0,0.9785025584877932,0.9721449551028665,1.003298417403745
lightweight,8,0.005,3059,1,1.0300885731951843,1.004607228971378,1.0124265380316864
lightweight,8,0.005,3059,2,0.9527383142267952,0.9423649081752433,1.005068014195847
lightweight,8,0.005,3059,3,1.0350888213635518,0.9954549344959422,1.0135270690570588
lightweight,8,0.005,3059,4,1.0004272751925882,0.9883267959650389,1.0060228860375369
random,8,0.005,3059,0,1.0037874601577967,0.9693690247325691,1.0175158957067425
random,8,0.005,3059,1,1.0105073136713023,0.9959046939441559,1.0069592322033758
random,8,0.005,3059,2,0.9932681134343099,0.9790376173417945,1.007967105884112
random,8,0.005,3059,3,0.9591481268889063,0.9481795588467224,1.005707798671496
random,8,0.005,3059,4,0.9868003985349448,0.9638360065849192,1.009624762952157
lightweight,8,0.01,6118,0,0.9813234496681151,0.9781266253074845,1.0015968172652139
lightweight,8,0.01,6118,1,1.0284197587006194,1.0050290267849775,1.0129867632140972
lightweight,8,0.01,6118,2,0.9812028495736814,0.9746075699270599,1.0035783988756488
lightweight,8,0.01,6118,3,1.0043652694844194,0.9951382944091897,1.0053207836456506
lightweight,8,0.01,6118,4,0.9916315936255329,0.9871343903108549,1.0021420161297903
random,8,0.01,6118,0,1.0214810163061119,1.0082443525837395,1.0075078507034694
random,8,0.01,6118,1,0.9916180666435205,0.9830359785500523,1.0037051562303911
random,8,0.01,6118,2,0.9970951010397965,0.9715522440506931,1.0171141815675129
random,8,0.01,6118,3,0.9908970468210379,0.985725093065925,1.0025576789580788
random,8,0.01,6118,4,0.9925107763820907,0.9796859021881661,1.0067006603998165
lightweight,8,0.05,30590,0,0.9930725183575689,0.9916463428125297,1.0007936815691088
lightweight,8,0.05,30590,1,0.9929881737170796,0.9914458629014489,1.000765889114083
