algo,k,frac,m,seed,center_idx,Lon,Lat
lightweight,4,0.01,7423.0,0.0,2,-73.88731376580296,40.769010731869585
lightweight,4,0.01,7423.0,0.0,3,-73.96511252686743,40.69392854078039
lightweight,4,0.01,7423.0,1.0,0,-73.9976039455235,40.731408906632346
lightweight,4,0.01,7423.0,1.0,1,-73.88490807978563,40.76736553962256
lightweight,4,0.01,7423.0,1.0,2,-73.96410088173492,40.69608323993985
lightweight,4,0.01,7423.0,1.0,3,-73.97250148742029,40.76645188394473
lightweight,4,0.01,7423.0,2.0,0,-73.96434604108816,40.69508428870078
lightweight,4,0.01,7423.0,2.0,1,-73.99774868007894,40.7309374849247
lightweight,4,0.01,7423.0,2.0,2,-73.88409659260466,40.76828648081114
lightweight,4,0.01,7423.0,2.0,3,-73.97287023206118,40.76620229559439
lightweight,4,0.01,7423.0,3.0,0,-73.97374852325645,40.765127070547585
lightweight,4,0.01,7423.0,3.0,1,-73.9617884186296,40.695961138861406
lightweight,4,0.01,7423.0,3.0,2,-73.9980779180323,40.72979011219173
lightweight,4,0.01,7423.0,3.0,3,-73.884138490463,40.769296998282584
lightweight,4,0.01,7423.0,4.0,0,-73.96368023685707,40.69532109197019
lightweight,4,0.01,7423.0,4.0,1,-73.97287957219979,40.76526434805245
lightweight,4,0.01,7423.0,4.0,2,-73.99784982077465,40.731139935261226
lightweight,4,0.01,7423.0,4.0,3,-73.88503306006143,40.77027769582264
random,4,0.01,7423.0,0.0,0,-73.96382408759123,40.69439124087591
random,4,0.01,7423.0,0.0,1,-73.97287073000349,40.76607897310513
random,4,0.01,7423.0,0.0,2,-73.88626549520767,40.768527795527156
random,4,0.01,7423.0,0.0,3,-73.99762539537713,40.731645164233576
random,4,0.01,7423.0,1.0,0,-73.96430269151139,40.69519648033126
random,4,0.01,7423.0,1.0,1,-73.97266498637602,40.76637571525885
random,4,0.01,7423.0,1.0,2,-73.9977816390366,40.73149599624648
random,4,0.01,7423.0,1.0,3,-73.88473209876543,40.76666820987654
random,4,0.01,7423.0,2.0,0,-73.997940155521,40.7309767029549
random,4,0.01,7423.0,2.0,1,-73.9729793537415,40.76611285714286
random,4,0.01,7423.0,2.0,2,-73.9643622406639,40.69578288381743
random,4,0.01,7423.0,2.0,3,-73.88762105263157,40.766772039473686
random,4,0.01,7423.0,3.0,0,-73.9623922497309,40.69543724434876
random,4,0.01,7423.0,3.0,1,-73.88492294117647,40.76687617647059
random,4,0.01,7423.0,3.0,2,-73.97280955831609,40.7665527605245
random,4,0.01,7423.0,3.0,3,-73.99762450859951,40.73129226044226
random,4,0.01,7423.0,4.0,0,-73.97251464857342,40.766133333333336
random,4,0.01,7423.0,4.0,1,-73.99750813776288,40.7321537336178
random,4,0.01,7423.0,4.0,2,-73.88351968253968,40.76592095238095
random,4,0.01,7423.0,4.0,3,-73.9641853095488,40.69459790136411
lightweight,4,0.05,37113.0,0.0,0,-73.97251993746714,40.76651903858583
lightweight,4,0.05,37113.0,0.0,1,-73.96380142222176,40.69495049461871
lightweight,4,0.05,37113.0,0.0,2,-73.99753852130182,40.73133135863326
lightweight,4,0.05,37113.0,0.0,3,-73.88524346537524,40.76838508136735
lightweight,4,0.05,37113.0,1.0,0,-73.99771538950455,40.73158809545455
lightweight,4,0.05,37113.0,1.0,1,-73.88550698821963,40.768395978505175
lightweight,4,0.05,37113.0,1.0,2,-73.97255091934859,40.76633369714164
lightweight,4,0.05,37113.0,1.0,3,-73.96357797184038,40.695388030083386
lightweight,4,0.05,37113.0,2.0,0,-73.99781050434332,40.73133258916234
lightweight,4,0.05,37113.0,2.0,1,-73.88484658478805,40.768400377599015
lightweight,4,0.05,37113.0,2.0,2,-73.9729025585707,40.76597500835875
lightweight,4,0.05,37113.0,2.0,3,-73.96433225180036,40.69515778707132
lightweight,4,0.05,37113.0,3.0,0,-73.972831316439,40.76628436979526
lightweight,4,0.05,37113.0,3.0,1,-73.96372654368777,40.69550060332503
lightweight,4,0.05,37113.0,3.0,2,-73.88521195354454,40.76810859676792
lightweight,4,0.05,37113.0,3.0,3,-73.9978516987801,40.73139020253357
lightweight,4,0.05,37113.0,4.0,0,-73.99782619307958,40.73138603192163
lightweight,4,0.05,37113.0,4.0,1,-73.9726118703755,40.76607691886649
lightweight,4,0.05,37113.0,4.0,2,-73.96383465129875,40.69550767357651
lightweight,4,0.05,37113.0,4.0,3,-73.88524803562548,40.768404618685096
